0;4.244118;6.202941;5.324410
0;4.120588;5.573529;4.725720
1;4.067647;5.794117;4.821453
2;4.302941;5.714706;4.877682
3;4.244118;6.667647;4.837370
4;4.144118;6.455883;4.737543
5;4.155882;5.967647;4.738350
6;3.814706;6.005882;4.570357
7;3.776471;6.529412;4.558363
8;3.900000;6.297059;4.717473
9;3.605882;6.194118;4.523876
10;3.650000;6.052941;4.573356
11;3.720588;6.029412;4.385756
12;3.720588;6.064706;4.458651
13;3.794118;6.094118;4.599250
14;3.705882;5.870588;4.471626
15;3.505882;5.841177;4.382699
16;3.150000;5.776471;4.400173
17;3.408823;5.917647;4.438351
18;3.685294;6.267647;4.409285
19;3.450000;6.026471;4.362053
20;3.450000;6.073529;4.446079
21;3.726470;5.911765;4.511245
22;3.711765;5.679412;4.395848
23;3.711765;5.679412;4.393887
24;3.570588;5.485294;4.305767
25;3.329412;5.726470;4.231603
26;3.473529;5.732353;4.415455
27;3.473529;5.644118;4.334256
28;3.555882;5.967647;4.457209
29;3.473529;6.082353;4.327451
30;3.717647;6.120588;4.393484
31;3.402941;5.923530;4.180851
32;3.402941;6.044117;4.271049
33;3.632353;6.414706;4.358939
34;3.535294;6.161765;4.549942
35;3.538235;6.191176;4.582584
36;3.402941;6.235294;4.336160
37;3.550000;6.214706;4.296309
38;3.302941;6.261765;4.048732
39;3.300000;5.555882;4.169723
40;3.582353;5.941176;4.365802
41;3.582353;6.226470;4.394752
42;3.441176;6.082353;4.403864
43;3.414706;5.958824;4.393196
44;3.332353;6.008823;4.301788
45;3.388235;5.958824;4.158132
46;3.250000;6.082353;4.208941
47;3.626471;6.067647;4.192273
48;3.505882;6.285294;4.297462
49;3.532353;6.382353;4.534603
50;3.273530;5.764706;4.341984
51;3.273530;5.858823;4.294809
52;3.273530;6.005882;4.337024
53;3.602941;6.061765;4.323644
54;3.526471;5.873529;4.333910
55;3.570588;5.920588;4.392329
56;3.570588;6.173530;4.443483
57;3.591177;6.088235;4.572030
58;3.582353;5.782353;4.328086
59;3.588235;6.241177;4.619205
60;3.441176;6.082353;4.405766
61;3.479412;6.385294;4.363380
62;3.479412;6.194118;4.244925
